"version"	"AUSSDA archive version"
"cf58_7"	"Zustimmung Aussage: Männer sollten einen größeren Anteil an Hausarbeiten übernehmen, als sie es jetzt tun"
"cf58_8"	"Zustimmung Aussage: Die Aufgabe des Mannes ist es, Geld zu verdienen - die der Frau, sich um Haushalt und Kinder zu kümmern"
"cf58_9"	"Zustimmung Aussage: Männer sollten einen größeren Anteil an der Kindererziehung übernehmen, als sie es jetzt tun"
"cf58a"	"Einstufen nach Geschlecht:"
"cf59_1"	"Es ist ihm wichtig, neue Ideen zu entwickeln und kreativ zu sein. Er unternimmt alles gerne auf seine eigene Art und Weise."
"cf59_2"	"Reichtum ist ihm wichtig. Er möchte viel Geld und Luxusgüter besitzen."
"cf59_3"	"Es ist ihm wichtig, in einer sicheren Umgebung zu leben. Er vermeidet alles, das seine Sicherheit gefährden könnte."
"cf59_4"	"Er nutzt jede Gelegenheit, um Spaß zu haben. Es ist ihm wichtig, Dinge zu tun, die ihm Vergnügen bereiten."
"cf59_5"	"Es ist ihm wichtig, den Menschen in seiner Umgebung zu helfen. Er möchte sich um deren Wohlergehen sorgen."
"cf59_6"	"Es ist ihm wichtig, sehr erfolgreich zu sein. Er hofft, dass andere Leute seine Leistungen anerkennen."
"cf59_7"	"Er ist auf Abenteuer aus und nimmt dafür Risiken auf sich. Er möchte ein aufregendes Leben führen."
"cf59_8"	"Es ist ihm wichtig, ein anständiges Leben zu führen. Er möchte alles vermeiden, was Leute als Fehltritt bezeichnen könnten."
"cf59_9"	"Er ist überzeugt, dass sich die Menschen um ihre Umwelt kümmern sollen. Umweltschutz ist ihm wichtig."
"cf59_10"	"Traditionen sind ihm wichtig. Er möchte jene Sitten und Gebräuche befolgen, die ihm durch Religion oder die Familie überliefert wurden"
"cf60_1"	"Es ist ihr wichtig, neue Ideen zu entwickeln und kreativ zu sein. Sie unternimmt alles gerne auf seine eigene Art und Weise."
"cf60_2"	"Reichtum ist ihr wichtig. Sie möchte viel Geld und Luxusgüter besitzen."
"cf60_3"	"Es ist ihr wichtig, in einer sicheren Umgebung zu leben. Sie vermeidet alles, das ihre Sicherheit gefährden könnte."
"cf60_4"	"Sie nutzt jede Gelegenheit, um Spaß zu haben. Es ist ihr wichtig, Dinge zu tun, die ihr Vergnügen bereiten."
"cf60_5"	"Es ist ihr wichtig, den Menschen in ihrer Umgebung zu helfen. Sie möchte sich um deren Wohlergehen sorgen."
"cf60_6"	"Es ist ihr wichtig, sehr erfolgreich zu sein. Sie hofft, dass andere Leute ihre Leistungen anerkennen."
"cf60_7"	"Sie ist auf Abenteuer aus und nimmt dafür Risiken auf sich. Sie möchte ein aufregendes Leben führen."
"cf60_8"	"Es ist ihr wichtig, ein anständiges Leben zu führen. Sie möchte alles vermeiden, was Leute als Fehltritt bezeichnen könnten."
"cf60_9"	"Sie ist überzeugt, dass sich die Menschen um ihre Umwelt kümmern sollen. Umweltschutz ist ihr wichtig."
"cf60_10"	"Traditionen sind ihr wichtig. Sie möchte jene Sitten und Gebräuche befolgen, die ihr durch Religion oder die Familie überliefert wurden"
"cf61"	"Denken Sie nun bitte zurück an die Zeit als Sie etwa 15 Jahre alt, also als Sie am Ende Ihrer Schulpflicht waren: Mit welchem Elternteil haben Sie damals zusammengelebt?"
"cf61_opn"	"Denken Sie nun bitte zurück an die Zeit als Sie etwa 15 Jahre alt, also als Sie am Ende Ihrer Schulpflicht waren: Mit welchem Elternteil haben Sie damals zusammengelebt?"
"cf62"	"Wie war damals die finanzielle Lage in Ihrer Familie bzw. in Ihrem Haushalt? (Vorlesen, 1 Nennung)"
"cf63_1"	"Mit wem als 15-Jährige/r Fragen besprochen? Eltern(teil)"
"cf63_2"	"Mit wem als 15-Jährige/r Fragen besprochen? Geschwister"
"cf63_3"	"Mit wem als 15-Jährige/r Fragen besprochen? Großeltern(teil)"
"cf63_4"	"Mit wem als 15-Jährige/r Fragen besprochen? Bester Freund, Freundin"
"cf63_5"	"Mit wem als 15-Jährige/r Fragen besprochen? Freundeskreis"
"cf63_6"	"Mit wem als 15-Jährige/r Fragen besprochen? Lehrer/ innen"
"cf63_7"	"Mit wem als 15-Jährige/r Fragen besprochen? Jemand anderer"
"cf63_opn7"	"Mit wem als 15-Jährige/r Fragen besprochen? Jemand anderer"
"cf64_1"	"Ausmaß Prägung Einstellungen/ Werthaltungen durch diese Personen? Eltern(teil)"
"cf64_2"	"Ausmaß Prägung Einstellungen/ Werthaltungen durch diese Personen? Geschwister"
"cf64_3"	"Ausmaß Prägung Einstellungen/ Werthaltungen durch diese Personen? Großeltern(teil)"
"cf64_4"	"Ausmaß Prägung Einstellungen/ Werthaltungen durch diese Personen? Bester Freund, Freundin"
"cf64_5"	"Ausmaß Prägung Einstellungen/ Werthaltungen durch diese Personen? Freundeskreis"
"cf64_6"	"Ausmaß Prägung Einstellungen/ Werthaltungen durch diese Personen? Lehrer/ innen"
"cf64_7"	"Ausmaß Prägung Einstellungen/ Werthaltungen durch diese Personen? Jemand anderer"
"df66"	"Wie oft besuchen Sie im allgemeinen den Gottesdienst?"
"df67"	"Wie oft nehmen Sie am Gemeinschaftsgebet in einer Moschee bzw. in einem Gebetshaus teil?"
"df68"	"Wie oft nehmen Sie an einem Gottesdienst oder an einem gemeinsamen Gebet teil?"
"df69"	"Welche der folgenden Aussagen bringt Ihren Glauben an Gott am ehesten zum Ausdruck?"
"df70"	"Können Sie mir ungefähr sagen, wie oft Sie dazu kommen, ein Buch (einschließlich e-book) zu lesen?"
"df71"	"Wie häufig sehen Sie das Hauptabendprogramm im Fernsehen oder über einen Internetstream-Dienst?"
"df72"	"Wie häufig haben Sie in den letzten drei Monaten privat durchschnittlich das Internet genutzt?"
"df73"	"Wie häufig haben Sie in den letzten drei Monaten privat durchschnittlich das Internet zur Teilnahme für soziale Online-Netzwerke genutzt? (z.B. Facebook, Twitter, google+, instagram etc.)"
"df74_1"	"Nachrichtenquelle in vergangener Woche genutzt? Fernsehnachrichten"
"df74_2"	"Nachrichtenquelle in vergangener Woche genutzt? Radionachrichten"
"df74_3"	"Nachrichtenquelle in vergangener Woche genutzt? Gedruckte Zeitungen"
"df74_4"	"Nachrichtenquelle in vergangener Woche genutzt? Onlineauftritte von TV- und oder Radioanbieter"
"df74_5"	"Nachrichtenquelle in vergangener Woche genutzt? Zeitungen Online"
"df74_6"	"Nachrichtenquelle in vergangener Woche genutzt? Soziale online Netzwerke oder Blogs"
"df74_7"	"Nachrichtenquelle in vergangener Woche genutzt? Andere Nachrichtenquellen (z.B. Wochen- oder Monatszeitschriften, Onlinesites, etc.)"
"df75"	"Welche der von Ihnen in der vergangenen Woche genutzten Nachrichtenquelle halten Sie am vertrauenswürdigsten?"
"df76_1"	"Wichtigkeit Lebensbereich: Partnerschaft"
"df76_2"	"Wichtigkeit Lebensbereich: eigene Familie und Kinder"
"df76_3"	"Wichtigkeit Lebensbereich: Beruf und Arbeit"
"df76_4"	"Wichtigkeit Lebensbereich: Freizeit"
"df76_5"	"Wichtigkeit Lebensbereich: Freunde"
"df76_6"	"Wichtigkeit Lebensbereich: Verwandtschaft"
"df76_7"	"Wichtigkeit Lebensbereich: Religion und Kirche"
"df76_8"	"Wichtigkeit Lebensbereich: Politik und öffentliches Leben"
"df77"	"Mit wie vielen Verwandten, Freunden oder Bekannten haben Sie sich im Verlauf der vergangenen zwei Wochen getroffen oder mit ihnen telefoniert? Nicht gemeint sind Personen, die in Ihrem Haushalt leben). (Zuordnen)"
"df78_1"	"Kennen Sie jemanden ... der Ihnen bei einem Umzug oder einer Wohnungsrenovierung helfen würde?"
"df78_2"	"Kennen Sie jemanden ... auf dessen Rat Sie sich verlassen können?"
"df78_3"	"Kennen Sie jemanden ... der Sie auf eine freie Arbeitsstelle hinweisen würde?"
"df78_4"	"Kennen Sie jemanden ... mit dem Sie persönliche Probleme besprechen können?"
"df78_5"	"Kennen Sie jemanden ... der Ihnen helfen würde, wenn Sie eine Wohnung brauchen"
"df78_6"	"Kennen Sie jemanden ... der Ihnen beim Ausfüllen eines Behörden-Formulars helfen würde"
"df78_7"	"Kennen Sie jemanden ... der Ihnen 1.000 Euro leihen würde?"
"df78_8"	"Kennen Sie jemanden ... der Ihnen bei Konflikten mit Familienangehörigen helfen würde?"
"df79"	"Wenn Sie Ihr Leben jetzt alles in allem betrachten, sind Sie sehr zufrieden, ziemlich zufrieden, eher zufrieden, eher unzufrieden oder ziemlich unzufrieden?"
"ef80"	"Sind Sie bei Ihren täglichen Aktivitäten durch ein chronisches, körperliches oder psychisches Gesundheitsproblem oder durch eine Krankheit behindert?"
"ef81"	"Wie beurteilen Sie Ihren Gesundheitszustand?"
"ef82"	"Wie schätzen Sie Ihre körperliche Leistungsfähigkeit ein?"
"ef83_1"	"Frequenz Freizeitaktivitäten: Künstlerische Aktivitäten (eigenes Musizieren, Malen usw.)"
"ef83_2"	"Frequenz Freizeitaktivitäten: Besuch von Theater, Konzerten, usw."
"ef83_3"	"Frequenz Freizeitaktivitäten: ins Kino gehen"
"ef83_4"	"Frequenz Freizeitaktivitäten: leistungsorientierte Sportausübung"
"ef83_5"	"Frequenz Freizeitaktivitäten: Sportveranstaltungen besuchen"
"ef83_6"	"Frequenz Freizeitaktivitäten: Handarbeiten, Basteln"
"ef83_7"	"Frequenz Freizeitaktivitäten: Lokale besuchen"
"ef83_8"	"Frequenz Freizeitaktivitäten: Wandern oder Radfahren"
"ef84"	"Wenn Sie Ihr Leben jetzt alles in allem betrachten, sind Sie sehr glücklich, ziemlich glücklich, eher glücklich, eher unglücklich, ziemlich unglücklich?"
"ef85"	"Wie wohl fühlen Sie sich derzeit? Ist Ihr Wohlbefinden zur Zeit sehr groß, groß, mäßig, eher gering, sehr gering?"
"ef86_1"	"Behauptung Zustimmung/ Ablehnung: auch bei uns in Österreich gibt es, wie anderswo, 'die oben', die kommandieren, und 'die unten', die gehorchen"
"ef86_2"	"Behauptung Zustimmung/ Ablehnung: durch die verschiedenen Interessensvertretungen ist in Österreich gesichert, dass bei uns jeder zu dem kommt, was ihm zusteht"
"ef86_3"	"Behauptung Zustimmung/ Ablehnung: jeder, der sich wirklich anstrengt, hat bei uns die Chance, hoch hinauf zu kommen"
"ef86_4"	"Behauptung Zustimmung/ Ablehnung: die Streitereien im Parlament schaden uns mehr, als sie nützen; besser wäre es, es gäbe ein paar mutige, unermüdliche und selbstlose Männer und Frauen, denen das Volk vertrauen kann"
"ef86_5"	"Behauptung Zustimmung/ Ablehnung: es gibt heute in Österreich noch immer große Bevölkerungsteile, die unterdrückt und ausgebeutet werden"
"ef86_6"	"Behauptung Zustimmung/ Ablehnung: von einer Benachteiligung der Frauen kann in Österreich schon lange nicht mehr gesprochen werden"
"ef86_7"	"Behauptung Zustimmung/ Ablehnung: alle Gesetze müssen genau befolgt werden"
"ef87"	"Wie stark interessieren Sie sich für Politik?"
"ef89_1"	"Verantwortlichkeit des Staates? einen Arbeitsplatz für jeden bereitstellen, der arbeiten will"
"ef89_2"	"Verantwortlichkeit des Staates? die Preise unter Kontrolle halten"
"ef89_3"	"Verantwortlichkeit des Staates? gesundheitliche Versorgung für Kranke sicherstellen"
"ef89_4"	"Verantwortlichkeit des Staates? den Rentnern und Pensionären einen angemessenen Lebensstandard sichern"
"ef89_5"	"Verantwortlichkeit des Staates? der Industrie Hilfen gewähren, um ihr Wachstum zu sichern"
"ef89_6"	"Verantwortlichkeit des Staates? den Arbeitslosen einen angemessenen Lebensstandard sichern"
"ef89_7"	"Verantwortlichkeit des Staates? die Einkommensunterschiede zwischen Arm und Reich abbauen"
"ef89_8"	"Verantwortlichkeit des Staates? einen kostenlosen Hochschulzugang für Kinder aus allen sozialen Schichten garantieren"
"ef89_9"	"Verantwortlichkeit des Staates? für genügend Sicherheitskräfte sorgen, um die öffentliche Sicherheit überall zu garantieren"
"ef90_1"	"Meinung zu Zuwanderern Zustimmung/ Ablehnung: Zuwanderer erhöhen die Kriminalitätsrate."
"ef90_2"	"Meinung zu Zuwanderern Zustimmung/ Ablehnung: Zuwanderer sind im Allgemeinen gut für die österreichische Wirtschaft."
"ef90_3"	"Meinung zu Zuwanderern Zustimmung/ Ablehnung: Österreich sollte härtere Maßnahmen ergreifen, um illegale Zuwanderer abzuwehren."
"ef91"	"Wie ist das mit Zuwanderern, die einer anderen Volksgruppe oder ethnischen Gruppe angehören als die Mehrheit der Österreicher? Sollte Österreich...?"
"ef92"	"Wie ist das mit Zuwanderern, die aus ärmeren Ländern außerhalb Europas stammen? Sollte Österreich….?"
"ef93_1"	"Aussagen öffentl. Diskussionen Zustimmung/ Ablehnung: der Staat hat die Pflicht, überall dort einzugreifen, wo Probleme bestehen und es den Menschen schlecht geht"
"ef93_2"	"Aussagen öffentl. Diskussionen Zustimmung/ Ablehnung: wir haben schon zu viel Staat, der Einzelne sollte sich mehr durch eigene Anstrengungen helfen"
"ef93_3"	"Aussagen öffentl. Diskussionen Zustimmung/ Ablehnung: der Staat sollte sich aus möglichst vielen Bereichen der Gesellschaft zurückziehen (und Regelungen den Marktkräften überlassen)"
"ef93_4"	"Aussagen öffentl. Diskussionen Zustimmung/ Ablehnung: in vielen Bereichen der Gesellschaft ist der Staat nicht zu ersetzen"
"gf94"	"Wie stolz sind Sie darauf, Österreicherin bzw. Österreicher zu sein?"
"gf95"	"In unserer Gesellschaft gibt es Bevölkerungsgruppen, die eher oben stehen und solche, die eher unten stehen. Wir haben hier eine Skala, die von oben nach unten verläuft. Wenn Sie an sich selbst denken, wo würden Sie sich auf dieser Skala einordnen?"
"i1f96_1"	"immer wählen geht."
"i1f96_2"	"niemals versucht, Steuern zu hinterziehen."
"i1f96_3"	"Gesetze und Bestimmungen immer befolgt."
"i1f96_4"	"sehr aufmerksam verfolgt, was die Regierung macht."
"i1f96_5"	"in sozialen oder politischen Vereinigungen aktiv ist."
"i1f96_6"	"versucht, den Standpunkt Andersdenkender zu verstehen."
"i1f96_7"	"sich aus politischen, ethischen oder Umweltgründen für Produkte entscheidet, selbst wenn sie etwas mehr kosten."
"i1f96_8"	"Menschen im eigenen Land hilft, denen es schlechter geht."
"i1f96_9"	"Menschen in anderen Ländern hilft, denen es schlechter geht."
"i1f97_1"	"religiösen Fanatikern"
"i1f97_2"	"Gruppen, die die Regierung gewaltsam stürzen wollen"
"i1f97_3"	"Gruppen mit Vorurteilen gegenüber Menschen anderer Nationalität oder Herkunft"
"i1f98_1"	"an einer Unterschriftenaktion teilgenommen"
"i1f98_2"	"bestimmte Produkte aus politischen, ethi schen oder Umweltgründen entweder bewusst gekauft oder nicht gekauft"
"i1f98_3"	"an einer Demonstration teilgenommen"
"i1f98_4"	"an einer politischen Versammlung oder Kundgebung teilgenommen"
"i1f98_5"	"mit einem Politiker oder einem Beamten Kontakt aufgenommen (oder es versucht), um meine Meinung zum Ausdruck zu bringen"
"i1f98_6"	"Geld gespendet oder gesammelt für soziale oder politische Zwecke"
"i1f98_7"	"mit den Medien Kontakt aufgenommen oder bin dort selbst zu Wort gekommen, um meine Meinung zum Ausdruck zu bringen"
"i1f98_8"	"mich im Internet an politischen Diskussionsforen beteiligt"
"i1f99"	"Wie oft nutzen Sie die Medien, d. h. Fernsehen, Zeitungen, Radio und Internet, um sich politisch zu informieren?"
"i1f100"	"Mit wie vielen Menschen haben Sie im Durchschnitt an einem normalen Wochentag Kontakt? Wir meinen Kontakte mit einzelnen Personen, also wenn Sie mit jemandem reden oder diskutieren."
"i1f102_1"	"dass alle Bürger einen ausreichenden Lebensstandard haben."
"i1f102_2"	"dass Staat und Behörden die Rechte von Minderheiten achten und schützen."
"i1f102_3"	"dass man den Menschen Möglichkeiten gibt, an politischen Entscheidungen teilzuhaben."
"i1f102_4"	"dass Bürger die Möglichkeit des zivilen Ungehorsams gegenüber Regierungsentscheidungen haben, d.h. dass sie sich öffentlich und bewusst gegen Regierungsentscheidungen stellen können, die sie als ernstes Unrecht ansehen."
"i1f102_5"	"dass Regierungen die demokratischen Rechte unter allen Umständen achten."
"i1f102_6"	"dass Menschen, die wegen schwerer Verbrechen verurteilt wurden, ihre Bürgerrechte verlieren."
"i1f102_7"	"dass Menschen, die schon lange in einem Land leben, aber dort nicht eingebürgert sind, das Recht haben, bei landesweiten Wahlen abzustimmen."
"i1f102_8"	"dass Bürger das Recht haben, nicht zur Wahl zu gehen."
"i1f102_9"	"dass jeder medizinische Versorgung erhält."
"i1f103_1"	"Menschen wie ich haben nichts zu sagen bei dem, was die Regierung macht."
"i1f103_2"	"Die Regierung kümmert sich nicht viel darum, was Menschen wie ich denken."
"i1f103_3"	"Ich weiß über die wichtigen politischen Themen in Österreich ziemlich gut Bescheid."
"i1f103_4"	"Die meisten Menschen in Österreich sind über Politik und Regierung besser informiert als ich."
"i1f104"	"Stellen Sie sich vor, der Nationalrat berät ein Gesetz, dass Sie für ungerecht oder schädlich halten. Was meinen Sie, wie wahrscheinlich ist es, dass Sie, allein oder mit anderen zusammen, versuchen würden, etwas dagegen zu unternehmen?"
"i1f105"	"Nehmen Sie an, Sie würden tatsächlich so etwas unternehmen. Wie wahrscheinlich ist es, dass der Nationalrat Ihren Einwänden ernsthafte Beachtung schenken würde?"
"i1f106"	"Was würden Sie sagen, wie sehr sind Sie an Politik interessiert?"
"i1f107"	"Man spricht in der Politik manchmal von „links“ und „rechts“. Wo würden Sie sich auf einer Skala von 0 bis 10 einordnen, bei der 0 „links“ bedeutet und 10 „rechts“?"
"i1f108_1"	"Man kann meistens darauf vertrauen, dass die Politiker, die an der Regierung sind, das Richtige tun."
"i1f108_2"	"Die meisten Politiker sind nur wegen ihres persönlichen Vorteiles in der Politik."
"i1f109"	"Wie oft würden andere Leute bei passender Gelegenheit versuchen, Sie zu übervorteilen oder aber versuchen, sich Ihnen gegenüber fair zu verhalten?   Andere Leute würden…"
"i1f110"	"Ganz allgemein, was meinen Sie: Kann man Menschen vertrauen oder kann man im Umgang mit Menschen nicht vorsichtig genug sein?   Man kann…"
"i1f111"	"Wenn Sie mit Freunden, Verwandten oder Arbeitskollegen zusammen sind, wie oft diskutieren Sie über Politik?"
"i1f112"	"Wenn Sie feste politische Ansichten haben, wie häufig versuchen Sie Ihre Freunde, Verwandten oder Arbeitskollegen davon zu überzeugen?"
"i1f113_1"	"Politische Parteien ermutigen die Menschen, in der Politik aktiv zu werden."
"i1f113_2"	"Die unterschiedlichen politischen Parteien bieten den Wählern keine echten politischen Alternativen."
"i1f113_3"	"Volksabstimmungen sind eine gute Methode, um wichtige politische Fragen zu entscheiden."
"i1f114"	"Bitte denken Sie an die letzte Nationalratswahl von 2013. Wie korrekt waren die Auszählung der abgegebenen Stimmen und die Mitteilung des amtlichen Endergebnisses?"
"i1f115"	"Wie fair war die letzte Nationalratswahl hinsichtlich der Chancen von Kandidaten und Parteien im Wahlkampf?"
"i1f116"	"Was meinen Sie: Inwieweit fühlt sich der öffentliche Dienst in Österreich dem Wohl der Bürger verpflichtet?"
"i1f117"	"Was meinen Sie: Wie viele Menschen sind im öffentlichen Dienst in Österreich korrupt?"
"i1f118_1"	"Wie gut funktioniert die Demokratie heute in Österreich?"
"i1f118_2"	"Und wie war das vor 10 Jahren - wie gut funktionierte die Demokratie in Österreich damals?"
"i1f118_3"	"Und wie wird das in 10 Jahren sein - wie gut wird die Demokratie in Österreich dann funktionieren?"
"i2f96_1"	"Wichtigkeit für Beruf und Arbeit: Eine sichere Berufsstellung"
"i2f96_2"	"Wichtigkeit für Beruf und Arbeit: Ein hohes Einkommen"
"i2f96_3"	"Wichtigkeit für Beruf und Arbeit: Gute Aufstiegsmöglichkeiten"
"i2f96_4"	"Wichtigkeit für Beruf und Arbeit: Eine interessante Tätigkeit"
"i2f96_5"	"Wichtigkeit für Beruf und Arbeit: Eine Tätigkeit, bei der man selbständig arbeiten kann"
"i2f96_6"	"Wichtigkeit für Beruf und Arbeit: Ein Beruf, bei dem man anderen helfen kann"
"i2f96_7"	"Wichtigkeit für Beruf und Arbeit: Ein Beruf, der für die Gesellschaft nützlich ist"
"i2f96_8"	"Wichtigkeit für Beruf und Arbeit: Eine Stelle, bei der man die Arbeitszeiten oder Arbeitstage selbst festlegen kann"
"i2f96_9"	"Wichtigkeit für Beruf und Arbeit: Eine Arbeit, bei der man persönlichen Kontakt zu anderen Menschen hat"
"i2f97"	"Haben Sie schon einmal für Ihre Familie auf gute berufliche Möglichkeiten verzichtet, oder würden Sie das tun?"
"i2f98"	"Haben Sie schon einmal für Ihre Familie eine für Sie unbefriedigende Arbeit behalten, oder würden Sie das tun?"
"i2f99"	"Sind Sie in den letzten fünf Jahren beruflich benachteiligt worden, z.B. bei einer Bewerbung, bei Ge-haltserhöhungen oder bei Beförderungen?"
"i2f100"	"Was war Ihrer Meinung nach der wichtigste Grund für die Benachteiligung?"
"i2f101"	"Sind Sie in den letzten fünf Jahren bei Ihrer Arbeit durch Vorgesetzte, Kollegen oder Kolleginnen wie-derholt belästigt worden, z.B. schikaniert, beleidigt oder körperlich angegriffen?"
